"Wavelength"   "295 K"      "243 K"      "228 K"      "218 K"
  197.8200   3.3662E-19   3.3186E-19   3.3155E-19   3.3216E-19
  197.8300   3.3699E-19   3.3197E-19   3.3166E-19   3.3208E-19
  197.8400   3.3668E-19   3.3184E-19   3.3136E-19   3.3198E-19
  197.8500   3.3674E-19   3.3164E-19   3.3119E-19   3.3177E-19
  197.8600   3.3670E-19   3.3146E-19   3.3084E-19   3.3144E-19
  197.8700   3.3642E-19   3.3121E-19   3.3051E-19   3.3115E-19
  197.8800   3.3594E-19   3.3107E-19   3.3028E-19   3.3103E-19
  197.8900   3.3508E-19   3.3099E-19   3.3023E-19   3.3073E-19
  197.9000   3.3443E-19   3.3070E-19   3.3022E-19   3.3057E-19
  197.9100   3.3415E-19   3.3082E-19   3.3030E-19   3.3037E-19
  197.9200   3.3387E-19   3.3064E-19   3.3026E-19   3.3026E-19
  197.9300   3.3373E-19   3.3049E-19   3.3029E-19   3.3002E-19
  197.9400   3.3332E-19   3.3033E-19   3.3015E-19   3.2990E-19
  197.9500   3.3361E-19   3.2995E-19   3.3013E-19   3.2997E-19
  197.9600   3.3386E-19   3.2975E-19   3.3010E-19   3.2984E-19
  197.9700   3.3414E-19   3.2931E-19   3.2987E-19   3.2967E-19
  197.9800   3.3426E-19   3.2901E-19   3.2961E-19   3.2974E-19
  197.9900   3.3410E-19   3.2897E-19   3.2936E-19   3.2945E-19
  198.0000   3.3382E-19   3.2881E-19   3.2915E-19   3.2924E-19
  198.0100   3.3417E-19   3.2880E-19   3.2899E-19   3.2898E-19
  198.0200   3.3404E-19   3.2874E-19   3.2892E-19   3.2900E-19
  198.0300   3.3383E-19   3.2868E-19   3.2884E-19   3.2918E-19
  198.0400   3.3283E-19   3.2879E-19   3.2879E-19   3.2906E-19
  198.0500   3.3272E-19   3.2854E-19   3.2848E-19   3.2896E-19
  198.0600   3.3235E-19   3.2830E-19   3.2824E-19   3.2891E-19
  198.0700   3.3248E-19   3.2806E-19   3.2801E-19   3.2867E-19
  198.0800   3.3229E-19   3.2800E-19   3.2790E-19   3.2852E-19
  198.0900   3.3247E-19   3.2783E-19   3.2787E-19   3.2826E-19
  198.1000   3.3269E-19   3.2760E-19   3.2794E-19   3.2808E-19
  198.1100   3.3250E-19   3.2748E-19   3.2804E-19   3.2810E-19
  198.1200   3.3211E-19   3.2737E-19   3.2830E-19   3.2788E-19
  198.1300   3.3216E-19   3.2699E-19   3.2839E-19   3.2782E-19
  198.1400   3.3219E-19   3.2675E-19   3.2836E-19   3.2778E-19
  198.1500   3.3208E-19   3.2689E-19   3.2807E-19   3.2764E-19
  198.1600   3.3164E-19   3.2704E-19   3.2779E-19   3.2762E-19
  198.1700   3.3124E-19   3.2707E-19   3.2758E-19   3.2756E-19
  198.1800   3.3114E-19   3.2679E-19   3.2742E-19   3.2758E-19
  198.1900   3.3080E-19   3.2667E-19   3.2743E-19   3.2749E-19
  198.2000   3.3093E-19   3.2645E-19   3.2754E-19   3.2738E-19
  198.2100   3.3106E-19   3.2621E-19   3.2755E-19   3.2735E-19
  198.2200   3.3090E-19   3.2603E-19   3.2738E-19   3.2721E-19
  198.2300   3.3095E-19   3.2617E-19   3.2698E-19   3.2695E-19
  198.2400   3.3073E-19   3.2618E-19   3.2673E-19   3.2680E-19
  198.2500   3.3059E-19   3.2623E-19   3.2638E-19   3.2660E-19
  198.2600   3.3084E-19   3.2601E-19   3.2607E-19   3.2643E-19
  198.2700   3.3053E-19   3.2599E-19   3.2598E-19   3.2610E-19
  198.2800   3.3025E-19   3.2579E-19   3.2595E-19   3.2596E-19
  198.2900   3.3033E-19   3.2562E-19   3.2594E-19   3.2575E-19
  198.3000   3.2991E-19   3.2531E-19   3.2571E-19   3.2561E-19
  198.3100   3.2963E-19   3.2537E-19   3.2562E-19   3.2570E-19
  198.3200   3.2926E-19   3.2521E-19   3.2554E-19   3.2557E-19
  198.3300   3.2896E-19   3.2507E-19   3.2545E-19   3.2538E-19
  198.3400   3.2885E-19   3.2497E-19   3.2534E-19   3.2546E-19
  198.3500   3.2862E-19   3.2495E-19   3.2525E-19   3.2527E-19
  198.3600   3.2903E-19   3.2481E-19   3.2509E-19   3.2521E-19
  198.3700   3.2928E-19   3.2477E-19   3.2514E-19   3.2524E-19
  198.3800   3.2897E-19   3.2477E-19   3.2452E-19   3.2536E-19
  198.3900   3.2876E-19   3.2495E-19   3.2415E-19   3.2570E-19
  198.4000   3.2876E-19   3.2460E-19   3.2386E-19   3.2545E-19
  198.4100   3.2848E-19   3.2427E-19   3.2374E-19   3.2527E-19
  198.4200   3.2810E-19   3.2408E-19   3.2370E-19   3.2531E-19
  198.4300   3.2770E-19   3.2391E-19   3.2377E-19   3.2489E-19
