ATLAS3-SUSIM  13 Nov 1994.
Wavelength in nm and Irradiance in mW/m2/nm
0.15 nm resolution (FWHM)
 
Wavelength Irradiance
  184.11  2.0853e+00
  184.16  1.9749e+00
  184.21  2.0819e+00
  184.26  2.2159e+00
  184.31  2.2961e+00
  184.36  2.2951e+00
  184.41  2.2508e+00
  184.46  2.3005e+00
  184.51  2.2479e+00
  184.56  2.0724e+00
  184.61  2.0293e+00
  184.66  2.1010e+00
  184.71  1.9844e+00
  184.76  1.8288e+00
  184.81  1.7377e+00
  184.86  1.9992e+00
  184.91  2.2543e+00
  184.96  2.3908e+00
  185.01  2.2502e+00
  185.06  1.9291e+00
  185.11  1.9119e+00
  185.16  1.9796e+00
  185.21  2.0335e+00
  185.26  2.0153e+00
  185.31  2.1148e+00
  185.36  2.3475e+00
  185.41  2.6275e+00
  185.46  2.8514e+00
  185.51  2.9127e+00
  185.56  2.7879e+00
  185.61  2.7914e+00
  185.66  2.8078e+00
  185.71  2.6717e+00
  185.76  2.4724e+00
  185.81  2.4222e+00
  185.86  2.5126e+00
  185.91  2.4383e+00
  185.96  2.3887e+00
  186.01  2.4395e+00
  186.06  2.5453e+00
  186.11  2.5799e+00
  186.16  2.5339e+00
  186.21  2.5836e+00
  186.26  2.7062e+00
  186.31  2.8497e+00
  186.36  2.6750e+00
  186.41  2.6997e+00
  186.46  2.5409e+00
  186.51  2.5498e+00
  186.56  2.5434e+00
  186.61  2.6554e+00
  186.66  2.8402e+00
  186.71  3.0748e+00
  186.76  3.2123e+00
  186.81  3.2134e+00
  186.86  3.2222e+00
  186.91  3.2448e+00
  186.96  3.2682e+00
  187.01  3.2968e+00
  187.06  3.2305e+00
  187.11  3.3414e+00
  187.16  3.3383e+00
  187.21  3.1897e+00
  187.26  3.1441e+00
  187.31  3.1221e+00
  187.36  3.2545e+00
  187.41  3.3565e+00
  187.46  3.3159e+00
  187.51  3.1844e+00
  187.56  3.1482e+00
  187.61  3.1501e+00
  187.66  3.1828e+00
  187.71  3.1092e+00
  187.76  3.1239e+00
  187.81  3.0928e+00
  187.86  3.0655e+00
  187.91  3.0555e+00
  187.96  3.0304e+00
  188.01  2.9935e+00
  188.06  3.0360e+00
  188.11  3.0217e+00
  188.16  3.0161e+00
  188.21  3.1977e+00
  188.26  3.4399e+00
  188.31  3.4850e+00
  188.36  3.5531e+00
  188.41  3.5321e+00
  188.46  3.5095e+00
  188.51  3.5386e+00
  188.56  3.4840e+00
  188.61  3.4750e+00
  188.66  3.5351e+00
  188.71  3.5114e+00
  188.76  3.5008e+00
  188.81  3.4098e+00
  188.86  3.5143e+00
  188.91  3.6102e+00
  188.96  3.7127e+00
  189.01  3.7696e+00
  189.06  3.7192e+00
  189.11  3.8351e+00
  189.16  3.9580e+00
  189.21  4.2120e+00
  189.26  4.0345e+00
  189.31  3.6497e+00
  189.36  3.5884e+00
  189.41  3.8107e+00
  189.46  4.0200e+00
  189.51  3.9361e+00
  189.56  3.7932e+00
  189.61  3.7276e+00
  189.66  3.8325e+00
  189.71  3.7315e+00
  189.76  3.5810e+00
  189.81  3.4172e+00
  189.86  3.2794e+00
  189.91  3.3813e+00
  189.96  3.6092e+00
  190.01  3.7042e+00
  190.06  3.7165e+00
  190.11  3.4693e+00
  190.16  3.5058e+00
  190.21  3.6178e+00
  190.26  3.8413e+00
  190.31  3.9810e+00
  190.36  4.1020e+00
  190.41  4.1601e+00
  190.46  4.1225e+00
  190.51  4.0071e+00
  190.56  3.9064e+00
  190.61  3.8607e+00
  190.66  3.8753e+00
  190.71  4.0567e+00
  190.76  4.1476e+00
  190.81  4.2061e+00
  190.86  4.3484e+00
  190.91  4.5576e+00
  190.96  4.3486e+00
  191.01  4.0081e+00
  191.06  3.8641e+00
  191.11  3.8895e+00
  191.16  4.0790e+00
  191.21  4.2097e+00
  191.26  4.1969e+00
  191.31  4.1827e+00
  191.36  4.0745e+00
  191.41  4.2203e+00
  191.46  4.3580e+00
  191.51  4.4933e+00
  191.56  4.7041e+00
  191.61  4.6270e+00
  191.66  4.4811e+00
  191.71  4.4017e+00
  191.76  4.3348e+00
  191.81  4.1979e+00
